0, success:True adjE: 2, zeroScore:-8.081514232005184e-11, average score:-8.081514232005993e-11 oV:127.7271554707163 average grad:-4.3585063594949313e-17, step1:-0.0 step2:-0.0 actualStep:-0.0 newV:127.72715547071647
1, success:True adjE: 2, zeroScore:-8.081514232005184e-11, average score:-8.081514479132028e-11 oV:186.73731114983593 average grad:-2.4593653527488392e-14, step1:-2.459365352748839e-17 step2:-2.459365352748839e-17 actualStep:-2.459365352748839e-17 newV:186.73731114983593
7, success:True adjE: 1, zeroScore:-8.081514232005184e-11, average score:-8.081514350711654e-11 oV:-718.7820119405084 average grad:-1.6714116255029314e-14, step1:-1.1699881378520523e-16 step2:-1.1699881378520523e-16 actualStep:-1.1699881378520523e-16 newV:-718.7820119405084
9, success:True adjE: 1, zeroScore:-8.081514232005184e-11, average score:-8.081514233192249e-11 oV:-474.81933651502055 average grad:-1.6714116012154915e-15, step1:-1.504270441093942e-17 step2:-1.504270441093942e-17 actualStep:-1.504270441093942e-17 newV:182.06978130491757
11, success:True adjE: 2, zeroScore:-8.081514232005184e-11, average score:-8.081514233588266e-11 oV:214.015219980481 average grad:1.930180809408998e-15, step1:2.1231988903498978e-17 step2:2.1231988903498978e-17 actualStep:2.1231988903498978e-17 newV:214.015219980481
18, success:True adjE: 1, zeroScore:-8.081514232005184e-11, average score:-8.081546011425275e-11 oV:-604.2210023245951 average grad:-3.025365639190055e-13, step1:-5.445658150542098e-15 step2:-5.445658150542098e-15 actualStep:-5.445658150542098e-15 newV:-604.2210023245951
19, success:True adjE: 2, zeroScore:-8.081514232005184e-11, average score:-8.081514232005992e-11 oV:442.4962803997805 average grad:-4.358506359419811e-17, step1:-8.281162082897642e-19 step2:-8.281162082897642e-19 actualStep:-8.281162082897642e-19 newV:442.4962803997805
23, success:True adjE: 1, zeroScore:-8.081514232005184e-11, average score:-8.081516216176712e-11 oV:-539.2096907666373 average grad:6.833384276756999e-14, step1:1.5716783836541102e-15 step2:1.5716783836541102e-15 actualStep:1.5716783836541102e-15 newV:-539.2096907666373
24, success:True adjE: 2, zeroScore:-8.081514232005184e-11, average score:-8.081514233588266e-11 oV:226.638150579618 average grad:1.93018080941045e-15, step1:4.63243394258508e-17 step2:4.63243394258508e-17 actualStep:4.63243394258508e-17 newV:226.638150579618
26, success:True adjE: 2, zeroScore:-8.081514232005184e-11, average score:-8.081514232005992e-11 oV:-750.586867485997 average grad:-4.358506359483399e-17, step1:-1.1332116534656839e-18 step2:-1.1332116534656839e-18 actualStep:-1.1332116534656839e-18 newV:-750.586867485997
27, success:True adjE: 1, zeroScore:-8.081514232005184e-11, average score:-8.081585963203278e-11 oV:736.9845163904279 average grad:-4.648534533809018e-13, step1:-1.255104324128435e-14 step2:-1.255104324128435e-14 actualStep:-1.255104324128435e-14 newV:736.9845163904279
